Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
841718910.0,0.132812,0.074463,0.948486,-2.167939,-4.778626,-2.007634
841730779.0,0.128906,0.082031,0.938232,-1.984733,-4.129771,-1.923664
841742649.0,0.121582,0.079102,0.948486,-1.954198,-3.679389,-2.015267
841754511.0,0.121094,0.080811,0.949707,-2.022901,-4.748092,-1.916031
841766373.0,0.126465,0.083008,0.943604,-2.099237,-4.236641,-2.053435
841778245.0,0.128906,0.076904,0.945312,-2.083969,-4.114504,-2.0
841790109.0,0.126953,0.078125,0.947021,-2.030534,-3.763359,-1.877863
841801973.0,0.119141,0.080078,0.959229,-2.183206,-4.19084,-1.778626
841813836.0,0.126953,0.075928,0.952637,-1.961832,-4.91603,-1.793893
841825708.0,0.125,0.073486,0.937256,-1.870229,-3.89313,-1.992366
841837579.0,0.127441,0.084473,0.939941,-2.015267,-4.167939,-2.099237
841849447.0,0.121826,0.084229,0.945068,-1.923664,-4.305344,-1.961832
841861319.0,0.132568,0.081299,0.946777,-2.29771,-4.274809,-1.900763
841873190.0,0.125,0.07666,0.942383,-2.221374,-3.908397,-1.969466
841885049.0,0.126953,0.076172,0.947754,-1.961832,-4.145038,-1.854962
841896910.0,0.137939,0.083252,0.93335,-2.0,-4.519084,-1.923664
841908778.0,0.125244,0.078369,0.951416,-2.076336,-3.931298,-1.801527
841920643.0,0.124512,0.077881,0.944336,-2.015267,-4.145038,-1.916031
841932510.0,0.118896,0.080322,0.949707,-2.183206,-4.152672,-2.045802
841944375.0,0.118408,0.076904,0.948486,-2.045802,-4.29771,-1.969466
841956248.0,0.129883,0.078125,0.938232,-1.900763,-4.137404,-1.908397
841968109.0,0.123291,0.077393,0.962646,-2.10687,-3.824427,-1.961832
841979970.0,0.128174,0.075195,0.943848,-2.091603,-4.396946,-1.946565
841991835.0,0.134277,0.075684,0.941406,-2.198473,-4.198473,-2.022901
842003707.0,0.121338,0.07666,0.945801,-1.900763,-3.89313,-2.022901
842015574.0,0.116699,0.084473,0.946533,-2.030534,-4.206107,-1.977099
842027438.0,0.122559,0.082031,0.949951,-2.198473,-4.419847,-1.916031
842039310.0,0.130859,0.081055,0.943359,-2.206107,-4.48855,-1.977099
842051188.0,0.125,0.08374,0.946045,-2.068702,-3.877863,-1.862595
842063048.0,0.12915,0.074707,0.949463,-2.145038,-4.19084,-1.832061
842074906.0,0.125244,0.080322,0.947998,-2.045802,-4.343512,-1.740458
842086773.0,0.121338,0.07666,0.941895,-2.076336,-3.908397,-1.870229
842098643.0,0.124023,0.081299,0.956543,-2.244275,-4.244275,-1.778626
842110508.0,0.128662,0.071289,0.954346,-2.244275,-4.007634,-1.870229
842122374.0,0.123779,0.077393,0.941406,-2.145038,-4.480916,-1.908397
842134246.0,0.131348,0.083252,0.94165,-2.083969,-4.122138,-1.977099
842146115.0,0.120361,0.081543,0.955566,-2.129771,-4.099236,-1.923664
842157974.0,0.12915,0.08252,0.951416,-2.19084,-4.51145,-1.847328
842169841.0,0.124268,0.078125,0.953613,-2.320611,-4.091603,-1.89313
842181714.0,0.126221,0.07666,0.946045,-2.10687,-4.022901,-2.030534
842193581.0,0.115479,0.078613,0.953857,-2.061069,-4.221374,-1.923664
842205448.0,0.125732,0.07666,0.940674,-2.076336,-4.38168,-1.931298
842217330.0,0.125488,0.081055,0.940918,-1.977099,-3.938931,-1.938931
842229197.0,0.119385,0.079834,0.950684,-1.916031,-4.167939,-1.755725
842241064.0,0.121094,0.080811,0.945557,-2.160305,-4.40458,-1.923664
842252932.0,0.127686,0.083008,0.942871,-2.083969,-3.992366,-1.694656
842264803.0,0.128906,0.077393,0.95459,-2.045802,-4.015267,-1.908397
842276676.0,0.130371,0.079102,0.94458,-1.916031,-4.290076,-1.862595
842288551.0,0.119629,0.077393,0.949219,-2.129771,-3.977099,-1.78626
842300428.0,0.131592,0.084717,0.935547,-2.19084,-4.061069,-1.961832
842312298.0,0.120605,0.082764,0.944824,-2.167939,-4.007634,-1.793893
842324173.0,0.121826,0.084473,0.959229,-2.0,-4.022901,-1.862595
842336040.0,0.123779,0.079102,0.9375,-2.114504,-4.755725,-1.969466
842347901.0,0.131104,0.079834,0.94458,-2.061069,-3.885496,-1.992366
842359772.0,0.118164,0.081787,0.956543,-1.78626,-4.145038,-1.870229
842371643.0,0.124756,0.079346,0.949707,-2.145038,-4.526718,-1.89313
842383509.0,0.126709,0.07251,0.939941,-2.251908,-4.099236,-1.992366
842395373.0,0.125732,0.078613,0.954102,-2.015267,-3.992366,-2.0
842407244.0,0.124512,0.069824,0.95166,-2.221374,-4.229008,-1.832061
842419109.0,0.123779,0.077637,0.95459,-2.030534,-4.267176,-1.931298
842430970.0,0.123291,0.078613,0.937012,-2.083969,-3.984733,-1.763359
842442833.0,0.125977,0.084473,0.943359,-1.900763,-4.206107,-1.977099
842454707.0,0.123047,0.083008,0.948242,-2.099237,-3.908397,-1.78626
842466574.0,0.130615,0.078125,0.946777,-2.381679,-4.351145,-1.770992
842478440.0,0.132568,0.081299,0.938477,-1.961832,-4.59542,-1.870229
842490310.0,0.134033,0.074219,0.955078,-1.954198,-3.305344,-1.938931
842502188.0,0.124023,0.084717,0.953125,-1.923664,-4.122138,-1.977099
842514048.0,0.129883,0.078857,0.933838,-2.175573,-4.801527,-1.89313
842525910.0,0.132568,0.079102,0.936768,-2.053435,-3.793893,-1.908397
842537780.0,0.118652,0.082275,0.965088,-2.19084,-4.343512,-1.946565
842549649.0,0.120361,0.071289,0.936523,-2.320611,-4.610687,-2.045802
842561513.0,0.127686,0.084961,0.955566,-1.885496,-4.129771,-1.801527
842573381.0,0.126709,0.083008,0.948975,-1.984733,-4.358778,-1.832061
842585249.0,0.131592,0.078369,0.945557,-1.839695,-3.549618,-1.946565
842597115.0,0.123779,0.081055,0.957031,-2.045802,-4.244275,-1.946565
842608974.0,0.127441,0.083008,0.941162,-1.992366,-4.687023,-1.977099
842620842.0,0.130127,0.077393,0.949463,-2.030534,-3.633588,-1.862595
842632714.0,0.125,0.08374,0.958252,-2.198473,-4.206107,-1.977099
842644581.0,0.11377,0.070801,0.940918,-2.229008,-4.900764,-1.732824
842656448.0,0.125,0.085693,0.94458,-1.961832,-4.236641,-1.89313
842668318.0,0.134033,0.081543,0.94873,-2.007634,-3.564885,-1.816794
842680190.0,0.112305,0.081543,0.94751,-2.015267,-4.145038,-1.923664
842692057.0,0.127686,0.082275,0.931885,-2.274809,-5.19084,-2.030534
842703914.0,0.135254,0.078125,0.939941,-2.274809,-3.259542,-1.885496
842715780.0,0.121582,0.080078,0.963135,-2.10687,-3.916031,-1.877863
842727649.0,0.12793,0.086426,0.944092,-2.251908,-4.969466,-2.083969
842739511.0,0.122803,0.081543,0.942871,-2.129771,-3.854962,-1.969466
842751376.0,0.124023,0.084717,0.956543,-2.29771,-4.053435,-1.916031
842763249.0,0.134766,0.088135,0.949951,-1.954198,-4.267176,-2.022901
842775109.0,0.125,0.076416,0.94165,-2.267176,-4.282443,-1.984733
842786970.0,0.120117,0.07959,0.947754,-2.038168,-4.442748,-1.793893
842798833.0,0.126953,0.074707,0.94873,-2.152672,-3.687023,-2.0
842810705.0,0.131104,0.064209,0.951172,-2.282443,-3.770992,-1.954198
842822574.0,0.117676,0.076172,0.952393,-1.938931,-4.557252,-1.916031
842834438.0,0.127441,0.083496,0.928955,-2.10687,-4.267176,-1.778626
842846310.0,0.124023,0.08374,0.944824,-2.206107,-3.496183,-1.732824
842858182.0,0.126221,0.087158,0.97168,-1.938931,-4.740458,-1.923664
842870047.0,0.129883,0.073975,0.928467,-2.221374,-5.091603,-1.877863
842881906.0,0.129883,0.080566,0.937744,-1.832061,-3.320611,-1.854962
842893773.0,0.119873,0.078125,0.974121,-1.969466,-3.816794,-1.862595
842905643.0,0.131836,0.077393,0.937256,-2.244275,-4.977099,-1.885496
842917507.0,0.129395,0.069336,0.933838,-2.175573,-4.206107,-1.854962
842929374.0,0.116699,0.08667,0.961182,-1.916031,-3.946565,-2.061069
842941249.0,0.127686,0.080078,0.942627,-2.0,-4.480916,-1.78626
842953109.0,0.120605,0.079102,0.937744,-2.152672,-4.137404,-2.007634
842964970.0,0.129883,0.082275,0.945557,-2.374046,-4.740458,-1.885496
842976833.0,0.124023,0.081543,0.948242,-2.10687,-4.206107,-1.885496
842988706.0,0.120117,0.082031,0.95166,-2.007634,-3.80916,-2.053435
843000573.0,0.12793,0.078125,0.948486,-2.015267,-4.534351,-1.801527
843012438.0,0.132812,0.074951,0.942627,-2.198473,-4.503817,-1.916031
843024309.0,0.122559,0.077148,0.948486,-2.076336,-3.610687,-1.847328
843036181.0,0.125488,0.080566,0.946289,-1.931298,-4.38168,-1.832061
843048047.0,0.128906,0.078369,0.937744,-2.206107,-4.885496,-1.969466
843059907.0,0.126221,0.084473,0.945068,-1.938931,-3.549618,-1.916031
843071772.0,0.116455,0.077637,0.956299,-2.061069,-4.137404,-1.984733
843083643.0,0.125977,0.072998,0.946777,-2.068702,-4.740458,-2.061069
843095510.0,0.128906,0.076904,0.947998,-1.969466,-3.801527,-1.969466
843107374.0,0.126221,0.081787,0.944336,-1.938931,-4.061069,-2.061069
843119248.0,0.124268,0.078125,0.944092,-2.083969,-3.984733,-1.755725
843131109.0,0.121338,0.074463,0.94458,-2.259542,-4.236641,-1.916031
843142970.0,0.123291,0.084717,0.939697,-2.045802,-4.442748,-2.10687
843154833.0,0.124512,0.079834,0.94043,-1.938931,-4.022901,-1.992366
843166706.0,0.124268,0.078613,0.947998,-1.946565,-4.122138,-1.969466
843178574.0,0.123291,0.078613,0.952148,-2.183206,-4.473282,-1.946565
843190438.0,0.132812,0.08252,0.942139,-1.916031,-3.885496,-1.923664
843202312.0,0.125732,0.082275,0.938477,-2.022901,-3.900763,-1.862595
843214191.0,0.126465,0.077393,0.953857,-1.961832,-4.465649,-1.778626
843226058.0,0.126465,0.076904,0.943848,-2.160305,-4.19084,-2.030534
843237916.0,0.124756,0.077881,0.950195,-1.977099,-4.122138,-2.007634
843249783.0,0.128662,0.089355,0.960693,-1.961832,-4.519084,-1.916031
843261649.0,0.128662,0.07666,0.941406,-2.0,-4.061069,-1.854962
843273510.0,0.119141,0.076172,0.939941,-2.099237,-3.748092,-1.755725
843285374.0,0.138672,0.089844,0.957764,-1.969466,-4.419847,-1.984733
843297249.0,0.123779,0.083252,0.938721,-2.045802,-4.526718,-2.030534
