Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
295408436,0.053467,0.080811,0.958740,-2.030534,-3.908397,-1.908397
295420307,0.052246,0.080078,0.952637,-2.374046,-4.251908,-2.045802
295432179,0.049805,0.076660,0.955811,-2.129771,-4.030534,-1.755725
295444045,0.057617,0.080811,0.954102,-2.190840,-4.236641,-1.961832
295455904,0.058105,0.081055,0.959473,-2.145038,-4.091603,-1.793893
295467769,0.054687,0.076172,0.957275,-2.328244,-4.061069,-1.862595
295479641,0.061523,0.076660,0.952148,-2.213740,-4.259542,-2.045802
295491505,0.051758,0.082031,0.962402,-2.213740,-4.312977,-1.862595
295503371,0.055908,0.082031,0.955322,-2.106870,-4.083970,-1.893130
295515242,0.057861,0.075928,0.959717,-2.213740,-4.091603,-1.908397
295527107,0.057373,0.076660,0.946289,-1.870229,-4.129771,-1.793893
295538968,0.053711,0.072998,0.953369,-2.183206,-4.167939,-1.900763
295550830,0.055420,0.076416,0.957275,-2.221374,-4.114504,-2.038168
295562704,0.055420,0.074707,0.958252,-1.877863,-4.183206,-1.969466
295574571,0.054932,0.074463,0.953857,-1.938931,-4.068702,-1.938931
295586436,0.061523,0.076904,0.953369,-1.923664,-3.923664,-1.931298
295598308,0.055420,0.082031,0.954346,-1.931298,-4.198473,-1.992366
295610179,0.046875,0.078369,0.956543,-2.053435,-4.374046,-2.000000
295622042,0.058350,0.076904,0.967041,-2.068702,-4.381680,-1.961832
295633901,0.057373,0.072754,0.955322,-2.015267,-4.000000,-1.816794
295645766,0.054443,0.073242,0.952637,-2.114504,-3.984733,-1.992366
295657636,0.055908,0.080566,0.958008,-2.183206,-4.366412,-1.893130
295669502,0.051758,0.069580,0.963379,-2.045802,-4.061069,-1.816794
295681370,0.055908,0.080078,0.956543,-2.297710,-4.427481,-1.946565
295693240,0.057373,0.084961,0.960937,-2.114504,-4.114504,-1.801527
295705107,0.051758,0.074707,0.951904,-2.167939,-4.396946,-2.038168
295716971,0.052979,0.080322,0.945068,-2.030534,-4.282443,-1.908397
295728834,0.061035,0.074219,0.950928,-2.297710,-4.007634,-1.954198
295740708,0.055908,0.076904,0.958496,-2.122137,-4.137404,-2.045802
295752576,0.058350,0.076660,0.956787,-2.175573,-4.328244,-1.893130
295764442,0.061523,0.076660,0.950928,-2.274809,-4.145038,-1.816794
295776310,0.055908,0.078125,0.957031,-2.083969,-4.114504,-1.954198
295788179,0.053223,0.071533,0.953857,-2.076336,-4.221374,-1.809160
295800042,0.056885,0.073975,0.955811,-1.832061,-4.389313,-1.969466
295811902,0.062988,0.080322,0.956055,-2.190840,-4.229008,-1.923664
295823768,0.060791,0.077881,0.957031,-2.106870,-4.152672,-1.870229
295835640,0.057617,0.074707,0.957275,-2.061069,-4.099236,-1.931298
295847505,0.057617,0.077637,0.955566,-1.938931,-4.061069,-1.916031
295859373,0.054932,0.076660,0.958008,-1.923664,-4.198473,-2.160305
295871246,0.055176,0.074219,0.956543,-1.931298,-4.145038,-2.114504
295883113,0.056396,0.075439,0.958496,-1.816794,-4.091603,-1.778626
295894972,0.055908,0.079834,0.946045,-2.183206,-4.229008,-2.045802
295906837,0.060303,0.075439,0.951172,-2.198473,-4.213740,-2.038168
295918712,0.057373,0.075439,0.953125,-2.267176,-4.091603,-1.793893
295930579,0.058105,0.078857,0.956055,-2.259542,-3.938931,-1.877863
295942444,0.061768,0.079590,0.960449,-1.877863,-4.351145,-1.977099
295954315,0.059082,0.077637,0.966797,-2.015267,-4.473282,-1.839695
295966188,0.058350,0.070557,0.953857,-2.198473,-4.305344,-1.824427
